X,Name,CreditCard_number,CreditCard_provider
493,Sally *Ell-is,4165358033992418,Disc+over
494,#Tri%cia Vi*lla!rre_al,4183975573755064832,J%C-B 16 d&igit
495,Miss Sarah Singh D!V+M,3566213135207974,VISA 16 digit
496,St$ep@hanie Har+ris,5236903550911986,JCB 16 digit
497,#NAME?,4065856483805932 ,Maest@ro
498,Amber Henders(on,2616104014124533,NA
499,Stephani@e Johnson ,3514428451247072,VISA 16 digit 
500,Ch*eryl# Joseph,2713227648066390,Amer_ican E_xp.ress
501,El&izabeth Snyder,2252947682808954 ,VISA *16 di%git
502,Ricky Decker,4.61637E+12,V+ISA 13 digit
503,NA,3.05189E+13,Discove-r
504,Miss- Heat&her Rose,4854933425022668800,American &Exp+ress
505,Catherine_ Smith,4538505913085297,Maestro
506,$Mar%ie $S^mith,3.00249E+13,@Mastercard
507,Lawrenc$e Peterson,NA,Maste-rcard
508,Tiffa+ny Chan,3.84028E+13,VISA 16) digit
509,Susan Hudso%n,4028094432358417,JCB 15 di$git
510,He+nry Estes,1.80071E+14,J!CB 16 digit
511,Anth^o&ny Guerrero,4685443660118874,Master#card
512,Jackie- K(lei$n,6573458323005888,VISA 13 digit
513,NA,NA,VI@SA 19 digit
514,Judith Anderson,4797955234648198 ,VISA 16 digit
515,Howard Ro+driguez,2720864316985674,(American Express
516,And.rew Spencer,6011841956094958,JCB 16 dig+it
517,Maxwell Moore,4751510963023016,V*ISA 13 digit
518,Michael Scott ,6574148290286541,VISA 19 d*igit
519,Laura Edwards ,6568505238109028,American Exp-ress
520,Shirley $Lawson,3.05896E+13,VISA 19 di+git
521,Justin. Lawson,4255504312532832768,NA
522,Gr(ac+e Sims,NA,JCB 16- digit
523,Michelle@ Dennis,4183372776806766,JCB @15 digit
524,!Erik Jordan,4.69474E+12,VISA 16 d(ig_it
525,Cind%y $Alvarado,3.49328E+14,VIS^A 13 digit
526,Savan+nah Frye,4364305593851728384,Din-ers+ Club /) Carte B&lanche
527,T!ammy ^Hodges,6011209298437162,NA
528,Kevin Le@wis,3575229572536765,VISA 16 digi!t
529,Lin-da #Mull(ins,6.39078E+11,NA
530,Heather (Griffin,4.36402E+12,.VISA 19& dig$it 
531,&christin#e& +schmidt,4494818235647526,!visa 13 d*igit
532,Cynthia Jenni@ng&s,4353759750465219072,NA
533,P%at(rick &T.homas,2.13159E+14,J_CB 16 digit
NA,m)rs.+ susan wal_ker,4872527127508181,(visa 13 digit 
NA,!De(nise Chambers,3.78827E+14,Mas%ter)card
536,N#ich&ole Re)i%d,6011492511564208,VISA% 16 digit
537,Amanda %Cas&e,4215676131404279,Amer(ican Ex#p)ress
538,A$s-hley (Gar%cia,3.4881E+14,VISA 13 digit
539,NA,4486324261384738,Mas&tercard
540,Rach^el Salinas ,2706912161600712,NA
541,Andrea Dun#can,3.78561E+14,Discover
542,William Graham,4.17775E+12,JCB 16 digi%t
543,John M_o$r*e!no,4784937749336159,VISA 16 di&git
NA,#Sean Gomez ,3580024120086097,A@meric!an Express
545,Ma&rcus William^s,6.76227E+11,NA
546,NA,4233150501441368,Discover
547,Dav%id B$ennett ,3501710221585286 ,VISA 13 +digit
NA,#NAME?,NA,JCB 16 dig@i!t
549,Melinda Johnson,3.01924E+13,Masterc(ard
550,-Megan Mcm!il%lan,3.68282E+13,JCB 15 digit
551,#NAME?,NA,Diners Clu(b / C)arte Blanche 
552,C^laire #Grant,6575189110763789,JCB 16 digit
553,T&imothy Car%son,NA,Diner.s Club / Car(te Blanche
554,@Ro_bert Vasq.uez,4.36162E+12,VISA 1-9 digit
555,NA,2.1317E+14,Diner#s Club / Carte Blanche
556,Wendy Mi-ller,NA,JCB 15 )digit
557,NA,4643814588623873024,Mastercard
558,Dana Taylor,2.13167E+14,JCB 15 digit
559,Kim#berly Morris,6011124814176253 ,Maestro
560,(Tina Cordova ,4254819319405427,American Ex$pres!s
561,Russell Tapia,3.02309E+13,JCB (16 @digit 
562,Eliz%abeth Diaz ,3548999864020132,A$merican Express
NA,Carolin-e Simmons,3573824421178538,American Express
564,Gloria Da%vis,3.02375E+13,VIS*A 19 !dig+it
NA,Zachary Rivera,3.43774E+14,JCB 16 di$git
566,Elizab$eth Perry,3.79794E+14,NA
567,Morgan Barker ,4908107349572016128,M+aestro 
568,NA,4314209701643249664,VI_SA 13 @di-gi-t
569,Mary. Gonzalez,3.04303E+13,NA
570,Mary Herrer^a,NA,VISA 13 digit
571,julie daniels md,2.13178E+14,NA
NA,Amy Brewer,4889875368940473344,NA
NA,Mercedes Berry,3.48003E+14,#M_aest$ro 
574,Mariah Brown,4.526486101482e+18,Di$s^co.ve!r
575,Ange%la Pham,NA,JCB 1.5 di)git
576,Amanda Ko@c.h,1.80086E+14,JCB 16 d#igit
577,Allison Tanne-r,60458965252,VISA 16 digit
578,Jordan Morgan,2.1319E+14,Maestro
579,William R%ogers,6011334029000491,JCB @15 dig#it
580,Tammy R*odrigue@z,3537586302492289,D@i+ners Club / Cart)e Blanche
581,NA,4365620848178352,JCB 1$5 digit
582,Justin Sm^it.h,3.02135E+13,JCB 15 (d$igi$t
NA,NA,1.8007E+14,Maestro 
584,Karina Miranda,4.01145E+12,VISA 19 digit
585,Colleen Scott,3599324228065129,VIS-A 19 digit
586,Taylor@ Pet%erson ,3.74362E+14,NA
587,Jessica Me(din*a,4414579711127949 ,V+I%SA .16 di&gi-t 
588,#NAME?,3.02644E+13,VISA 19) (digit
589,KATIE MARTINE&Z ,4152636368284351,AMERICAN EXPRESS
590,Rachel Brown,2296306568709737,*JCB 16 digit
591,Vic*tor Mor)gan,4675166919031692288,Mastercard
NA,Christine Walsh,4909286685759955968,JCB 15 digit
NA,cy)nthia johnso^n,1.80045E+14,maes&tro
594,Steven Hebert,3584787236834529,JCB 16 digit
595,Christop*he#r Graham,NA,America^n Expres_s
596,&Danielle@ Thompson,4865034993018347520,NA
597,Katherin^e Elliott,3.61697E+13,.Discover
598,Jennifer Jo@nes,4.67118E+12,NA
NA,NA,4284566081793401856,Diners Club / Carte Blan(c^he
600,Kari Ma+nn,4514799930641640,VISA 16 di&git
601,Jenni&fer S&ullivan,3.49122E+14,Mas_ter.card
602,Brenda Hamilto-n,NA,VISA 13 digit
603,Matthe!w Weaver,4.0169E+12,VI)SA 13 digit
604,*Karen Serrano,3.0499E+13,JCB 16 digit
605,Joh@n Bowen,3543427920354092,Dine.rs Club / Carte+ %B(lanche
606,Lindsay L!yons,3.03292E+13,JCB 15 digit 
607,#NAME?,5487063507432176 ,Maest@ro
608,NA,4192224881440149,Discover
609,Brandi Brown,4846495412837538,VI+SA 19 digi(t
610,He$a_ther B.er(n$ard,4453888439433725,American Express
611,Alexan*dra Garcia,2714382572591639,JCB 15 digit
NA,M-egan Clark,4469875763927229952,JCB 16 digit
613,Pam&ela Medina,4.93617E+12,VISA 13) digit
614,NA,NA,VIS.A 13 d^igit
615,Sarah Raymond,1.8001E+14,VISA *16 digit
616,Mari.a %Mi^lls,3.76969E+14,VISA 13 digit 
617,Ra*chel_ G#arci*a,4687958607826524160,NA
618,D@a^v$id Da!venpor+t ,2641411875503427,JCB 16 digit
619,)Cynthia Wagner,2316469226596726,JCB 16 di)git
620,John ^Boo)ne,5.01824E+11,JCB &16 digit
621,M!ichael Smith,4756262543391829,VISA 19+ digit
NA,Gary @Patric$k,4799374961535040,Dine^rs Club / %Carte( Blanc!he
623,Ashley Perez,NA,+JCB 15 digit
624,Devon* Rubio,4613250806244481,VISA 16 di-git
625,Jamie ^Wallace,6570301758657331,VI)SA 16 digit
626,YOLANDA P)AYNE,NA,JCB 15! DI*G@IT
627,Mrs. Shelle^y Wood,3563595997371408,Discover
628,Jeremy F+owler,3.88604E+13,Ma@estro
629,Brian Gilmore,3598986947967677,VISA 19^ digit
630,Ch(ri.stopher +Watkins,4889331201493444608,Ma$stercard
631,Ma(ry T.urner,3.82665E+13,VISA 16! digit
632,#NAME?,3.05068E+13,Maestro
633,kendra brady,2274338153066864,jcb+ 16 d^igit
634,Lau+ra Gre%ene,6.76287E+11,VISA 16 digit
635,Thomas Coleman,2241511750579436 ,JCB 15 digit
NA,Xavier @Si*ms,NA,VISA 19 di.git
637,Jennif+e@r #Greene,4493118975385705 ,VISA 19! dig&it
NA,NA,6011623894167967,VISA_ 19 _DIGI!T
639,William Romero ,1.80086E+14,America^n Ex!press
640,Nicole Smith,NA,Discover
NA,Eri!ca Ferr^ell,3543578208922248,Americ(an -Express
642,Craig John*son,3.78115E+14,VISA) 1&6 di%git
643,John_ %We-iss,3.67788E+13,VISA 19 digit
NA,Nicole- Danie&ls,3515905002327403,JCB 15 digi^t
645,Michael Rodr(iguez,4.96721E+12,VISA 16) digi.t
646,James Ni_chols,6.76244E+11,NA
647,Angela Carroll,3.48682E+14,Ame^ric-an Express
648,Stanley Moore,NA,JCB 1#5) digit
649,Courtney Miller,3527107734168090,NA
650,Rodney Hale,3.05602E+13,JCB 16 #digit 
651,melinda reed,1.80008E+14,jcb. 16! dig#it 
652,K-elly. Knig(ht,2533804049911404,$VISA 16 d+igit
653,NA,3.04291E+13,NA
654,Stephanie Terrell,2.13108E+14,A*mer(ican Express
655,Hun_ter Ca@meron,6578752295973692,JCB 16 dig-it
NA,Ashley_ Adams,4.96965E+12,JC!B -16 digit
NA,Dan*i(e*l Walker,2707610944676541,Maestro
658,laura mc(lean,3.49628E+14,d!iscover
NA,jessi.ca jones,2293571502013297,NA
660,Ha&rry& Haynes ,4462327058369349,)VISA 16 digit
661,David Pe%t_ers,3507590135090563,J@CB 15 digit 
662,Chr$istopher Col%eman,6011693490489594,American &E)xpres@s
663,Zachary Barto$n,5.79936E+11,JCB 16 digit 
664,Jessica Olsen,6011562165269385,NA
665,Annette( Mci$ntos%h,4.46996E+12,Ame_ric%an Expres$s
666,Tiffany Robers%on,3550039349009643,%V^ISA 19 d#igit
667,Sabrina %Mc@don*a&ld,6011091748947291,Discover
668,NA,3.73542E+14,J(CB% 16 digit
669,nicole maxwell,NA,(visa 16 -digit
670,gary &smith,4.38861E+12,NA
NA,_Ryan^ Miller ,4525350433041172,NA
672,M$atthe@w$ Castaneda ,3511766143505040,Diners& Club / Carte Bl^anche 
673,Ma*rcu.s L&amb,5.01813E+11,VISA 16 digit
674,Colleen Cunningham,4.98069E+12,Dis&cover
675,Chase Taylor,4534449714991920,JCB 16 digit
676,Stacey Kim,3.64709E+13,JCB )16 digit
NA,Jessica Love ,1.80039E+14,VISA 16 digi*t
678,Cha^d Bautista,NA,^JCB 16 digit
NA,Margaret ^Cherry ,2.13157E+14,VISA 13. digit
680,NA,4665941453643028,NA
681,Deborah Harper,3504121566130224,NA
682,sarah. white ,3582585121211627,!jcb 15 dig)it 
683,Ja+net Mendoza,3.0245E+13,JCB 16@ d(i_git
684,Marie _B.utl$er,3.7012E+14,American Expres+s
685,P*amela# M)artinez,4.56235E+12,-VISA 1-3 digit
686,Shaw#n S%loan,4.85413E+12,VISA 16 di^git
687,William Nelson,4136022394644044800,Ameri*ca+n Express
688,Anthony Burke,4.0901E+12,American Express
689,Ia@n Mart+in,6011859133177751 ,VISA 19 digit
690,Lori Od*om,6011600587151342,JCB 15 (digit
691,Katherine& Moody,6553499190809402,Dine(r@s! Club / Carte Blanche
NA,)D^eanna Bartlett ,5578291600090761,NA
693,ASHLEY .GONZALE^S,4794586618398820,JCB 15 DIGIT
694,Je!ffer+y) %Shaw,4323777891637172224,JCB 16 digit 
695,Vi#ct-oria Harm_on,4119176451751838208,VISA (16 digit
696,Danie)l Thomas,6522635530070274,JCB !16 digi#t
697,Jes(sica Williams,3595241573794372,VI%SA 16 di+git
698,NA,3502240441250395,JCB- 16 digit
699,NA,3.03603E+13,VISA 16 DIGIT
NA,Ivan* Reed,2259793658892413,NA
NA,Cassie #Hunt^er,4734140480928836,Ame+rican Express
702,Penny% Nguyen,4524390916224169,VISA 19 dig+it
703,NA,3.01196E+13,vi+sa 16 digi$t
704,Micheal Daniels,4.60471E+12,VISA 19 digit
705,Kaitlin Jackson,NA,Maestro
706,Brandon H@all ,1.80075E+14,VIS!A 16 d_igit
707,Matthew Underwood,5506419547479931,D&in!ers Club / Carte Blanche
708,James Gates,3597199344727063,NA
709,NA,NA,V*IS-A 16 digit
710,S#tac.y $Wilson,3.022E+13,+Diners Club / C_arte Bla#nche
NA,Tracy Freeman,3.03347E+13,NA
712,Da^vid Nguyen ,4081863758434166,JCB 16 d(igit
NA,NA,4664535008652129,VIS&A 16 digit
714,NA,2544038423864593,maste&rcard
NA,Jennifer Ro!ss DDS,3546719114246895,J)CB 1-6 di$git 
NA,J+ulie Terry,4388357396050427,D@ine_rs Club / Ca)rte -Bla)nche
717,L$eah Velasquez,4.39227E+12,$JCB 15 d_igit 
NA,$Madison Rod(riguez,3.76198E+14,JCB 16 d!igit 
719,Kim Moore,3559984294611649,VISA) 16 digit
720,Melissa Martin$ez ,3.45676E+14,^JCB 1_6 digit
721,NA,4748232299454478,Maest!ro
722,NA,4339907948089276928 ,VISA 16 digit
723,Brandon Pena,2595880436044145 ,Maestro
724,Edward Fleming,4089514496300814336,JCB )16- digit
725,andrea harris,4458449440314605,NA
726,Karen $Jon!es,4.05406E+12,NA
NA,Rob%in Wil-son,3517741847066718,Ma*stercar_d
728,Sus!an Wils^on,1.80047E+14,#Maestro
729,David Harris ,3541687670798861,(JCB 16 digit
730,K)a^thryn Turn-er,1.80071E+14,(Maes&tro
731,Chr(istopher# T&h%omas,1.80075E+14,Diners Club /$ Carte Blanche
732,Jordan Sellers,2.13129E+14,VISA 13 digit
733,ma(ndy tr)an,3545855020042597,j$cb 16 $digi*t
734,michael brown ,2552996029315600,%maest_ro
735,Caitlin Davis,4.73302E+12,Di!ners #C#lub /_ C!arte% Blan@che
736,MIRA#NDA SOLI^S ,3533504927515222,JCB 16@ DIGIT 
737,Heather She)a,3531163718306960,Dis%cover
738,Doroth$y Gibb+s,3502966744410944,VISA 16 d&igit
NA,T^am)ara La)w^rence,6011783657166497,Maestr#o
740,Yolanda !Young,4955921793953294,VIS_A 19_ digit
NA,David Hickman,6.76207E+11,NA
742,Mar)ia Gomez,4.55439E+12,NA
743,Daniel Marsh,3.79788E+14,.JCB 16 digit
744,Patri*ck Lee,2285613565683911 ,Mastercard
745,Lisa Bradley,6011804498343879,JCB 16 digit
NA,C-indy @Yates,6011832650712128,JCB 16 digit
747,Amanda- Hunt$e+r,4019346641013345,Discover
748,NA,6.75944E+11,diners club /& c*arte b^lanche
749,William R@i(ce,3567377952740620,JCB 16 di!git
750,Glenda Dodson,3.01308E+13,VIS%A( 19 digit
751,V%anessa Hernan_dez,3.73375E+14,VISA +13 digit
752,Janet Hanna,3552733907346615,NA
753,Jen-nifer Yates,4017243410882715,VISA. 16 digit
754,NA,4455835384501749760,JCB 16 digit
755,Diane Riv@era,2.13166E+14,VISA -16 digit
NA,NA,3.79239E+14,Diners Club / Car*te Blanche
757,Amy Th.ompson,NA,VISA 16 digit
758,Corey L)i,3.02669E+13,Ma!estro 
NA,Sh#ane_ Hardy,3.74129E+14,Maest!ro
760,CY_NTHIA -G$A@RCIA ,3542260012119847,VISA #16 DIGIT
761,B-eth Curry ,4670655939589323,NA
762,Ma$ry^ Will.iams,2687076986813174 ,VISA 16 digit
763,NA,5495454935303149,*Maestro
764,Lau*ren+ T%homas,3555112535423202,Maestro
765,NA,4822239493191026688,VI+SA 13) digit
NA,.D^aniel -Johnson,4544364353159119 ,JCB 15$ -digi!t
767,Kendra Browning,3.40375E+14,Mastercard 
768,Al(ice+ W-est,NA,D_iscover
NA,J-es@s@ica Mue_ller DDS,4687817805330304 ,J.CB 1)6 digit
770,Anthony Jacobson,4915678201344635904,VISA 16# digit
771,Daniel Willia(ms ,1.80029E+14,Maestro
772,Chri!stopher Ri*o_s,4157795404921502,)Ma-estro
773,Anthony Sanders ,2712035735422686,JCB 15 d&igit
774,E_ric Wagner,2402658721038896,Ame(ric)an Express
775,Mo&n#ica Ramos,3.70812E+14,VISA 19 digit
776,john mcinty_re,4.2533E+12,diners# %club& / carte blanche
777,NA,3.70976E+14,JCB 15 digit
778,Kathleen Gordo+n,3.48321E+14,JCB 16 digit
779,NA,3566736732465728,jcb& 16 digit 
780,Kim&ber_ly M^ay,3.44896E+14,D+iners Club / Carte Blanche
781,DAVID ROGERS,2.13106E+14,JCB 16 DIGIT
782,LISA B@AXTER,4187617196097495,JCB (16 DIGIT
783,kyle m!iller,4360181490628658688 ,NA
784,S)hirley Sims ,3503500054034041,JCB 16 digit 
785,Shan$n.o@n Mo_r@se,5233951745773715,VISA 16 digit
786,Ashley Cochran,3599233549440632,@Mae$stro
787,Ashley Miller,4797810818124811,NA
788,Miche)ll_e Go)nzalez,4715322687109064704,VISA 13) digi_t
789,Mar!y Thompson,1.80089E+14,V#ISA( 1^3 digit
790,NA,3.48112E+14,Mastercard
791,Jef(f!rey &Larsen,3567771142095673,VISA 1#6 digit
792,Heather Benson,NA,NA
793,Jonatha+n Wilson,5.76874E+11,VISA 16 digit
794,L*in$da. Davis,NA,.Mastercard
795,Ear_l* W$right,5.61407E+11,J^CB .15+ digit
796,Richa$rd Mayer,4349818437316190,NA
797,Patricia Miller,2.13193E+14,A.merican+ Express
798,Ma*rk Burton,4713653872373366,VISA 1&6 digit
799,&Jo Cordova,4.128600018726e+18,Ma)estro
800,M*e-lvin Alv(arado ,4712770377824601,NA
801,Ste+ph+anie Willis,2222427036343187,Dine)rs C&lub / +Car#te Blan(c#h*e
NA,Kayla Brock,5503964060250196,Maestro
803,Cla$udia Randall ,4913448554577261,VISA 19! digit 
804,$L*a+uren C(ummings,5.02057E+11,VISA 16 dig*it
805,H$a(nnah Morton,3509628796471322,Discover
806,Robert^ L+una,3.81899E+13,Ameri#can Expre%ss
807,MICHELLE COOK(E,2.13196E+14,VIS#A 16 DIGIT
808,jessica martinez,6592853815310522,ameri%can express
NA,C.helsea Palmer,4342452306443583,A*merican Express
810,Jennifer Pet$erson,2510648674533638,M!as)tercard 
811,b$ria!n c$hambe-rs,3.01708E+13,vi#sa 16 d.igit
812,*Jeremy Davis,3.03229E+13,Americ*an Express
813,Tra^ci_ Rivera,6.39057E+11,(Mastercard
814,&Rebecca Moore,3.00031E+13,VISA 16 #di+git
815,Elizabeth #Butler,4804010588623628,Mastercard
816,NA,3546487628419552,Din)ers Club / Cart)e! $Bl(anche
817,Seth Zhang,NA,JCB 16 digit
NA,NA,NA,VISA 19! digit 
819,Brent Murphy,3531808035304722 ,NA
NA,Darre-ll_ Clarke,3.82052E+13,Mae-stro
821,Justin G+amble,4.34797E+12,A.meri#can Express
822,Kelly Gibson,2265185489137153,Amer!ican Exp_re#ss 
823,Jose P&ierce ,4.41855E+12,VISA 16 digit
824,ambe-r %villa,6011672482592268,!jcb 16 @dig*it
NA,Brian- Jime.nez,NA,Di&sco_ve-r
826,joseph lee,4629754049689693,!visa 16 digit
827,J)ohn Jordan,3.03826E+13,JCB 16 di*git
828,!Christina Long,4.50322E+12,JC-B !15 !digit
829,NA,5249977036255718 ,VISA 16 digit
830,Jes$se Morrison,1.80011E+14,JC#B 16 digit
831,john *dean,2.13197E+14,ameri.can expres!s
NA,Alli%son Allen ,2.13196E+14,VISA 16 di.git
833,Je-sse A)co^st(a,5.80536E+11,Mae&stro
834,Janice Hickman .MD,4853366059897426,JCB 16 digit
835,Ha(nnah Murp.hy,4.93169E+12,J(CB 15 digit
836,Adam Smit+h,3.05328E+13,+VISA 16 dig.it
837,An)dre(w Bail&e.y,5.02019E+11,VIS(A 19 d#igit
838,Brit-tany Jones,4007967785752614,Mastercard
839,ALEXANDER JOHNSON,4.79945E+12,DIS+COV-ER
840,DAVID S%MITH,4790917884225986560,VISA 13 DIGIT
841,Mark^ Horne,3555130854890884,VISA 16 digit
842,Paige -Olson,2646465488764557,VISA 1!6 #dig_i)t
843,Jennifer Georg^e,5.74422E+11,Maestro
844,Erin Br(ennan,1.8E+14,NA
845,C$rys#tal Sh$an&n^on,6011536372629458,NA
846,NA,6518872009776323,VISA 16 dig+i&t
NA,-Alici^a Washing(ton,5490039818361168,Diner$s Club / Cart^e _Blanche
848,$Mi_ch+ael #Kline,4141552957461298,.VISA 16 di%git
849,Michael Har_t,2.13134E+14,Am%erica!n Express
850,E+rin Her%nandez MD,3595490278683931,Maestro 
851,Abigail B$a^rrett,6.76377E+11,Mae#stro
NA,Am%anda Knapp,6599873705595993 ,VISA 16 digit
853,Tiffany Rich,3.49345E+14,VISA 13 .digit
NA,Sharon Russel#l,4242900282936864 ,Mae$stro
855,Rachel Smith,4460701467818777,VISA ^16 digit
856,Prisci!lla !Saund)ers,4698032822216596,JCB 1^6 di_git 
857,-Mark (Dona(l-dson,1.80081E+14,D.iscover
858,Olivia #Mayer,4598016085986830,VI)SA (13 d!igit
859,NA,4292645192081827,Disco^ve_r 
NA,Charlo!tte Thompson,6.76123E+11,D&iner*s Club / Cart#e Blan(che
861,Stephen Ja(ckson DV!M,4.0218E+12,JC^B 15 digit
862,We#ndy Gard%ner,3594243240388407,NA
863,Laura Gomez ,6.30442E+11,^JC^B 15 digit
864,NA,6.39044E+11,visa 16 digit
865,Gl.or*ia Browning,2273462465716734,^V_I)SA 13 digit
866,NA,4520074274835105,JCB% 15 digit
867,Gab+rie+lla King,4473533319895876 ,Maestro
868,$Lisa Garcia,NA,JCB 15. digit
869,!m$ichel(l+e rod^r.iguez,1.80038E+14,jcb 16 digit
870,Ashley +Smith ,3.82544E+13,Ma)stercard
871,Ryan! Rogers,3.72653E+14,NA
NA,Betty Joseph,3.49639E+14,*JCB 15 di)gi$t
NA,Alicia Castillo,4.20121E+12,JCB 16 digit
874,Stephan)ie Cobb,4334648175816250,VISA 13 &digit
875,Mich+e*le( Olson ,2275265683109451,Ameri-can Express
876,NA,2252784120772991,J-CB 16 d#igit
877,Susan$ $Un(d-er)wood,6011578645911537,JCB* 16 digit
878,Elizabeth Arias,3528070109120493,VISA 16 d*ig@it
879,Leslie Ram!irez,NA,*Diners Club / Carte Blanche
880,NA,3.4478E+14,V+I$SA 13 digit 
881,&Mel^issa Ha.rper,3523502940392399,JCB 16 digit
882,Tr+ac&y Mo!n(toya,6011326836528961 ,JCB 16 ^dig)it
883,Ni(co.le Hall,3.89322E+13,NA
884,NA,6011069361892069,Diner$s Club / Carte Blan+che
NA,Erik@a *Poll+ard,2398172475463488,JCB .16 +digit
886,NA,1.80065E+14,JCB 16 digit
887,Christ*o%p)her Da+vis ,5406136458776060,VISA 19 digit
888,NA,3.04578E+13,VISA 16 d#igit
889,Melissa R*ichards,3562883475365774,Master)card
890,Anna J_on)es,3510461392480233,M)aestro
891,Ariel Sanche#z ,1.80041E+14,VIS(A 1&6 digit
892,Willie Bon$d,4412111801795161,VISA (16 digit 
893,th$oma^s smith,4.62435E+12,disc.over
894,)dennis how)ard,NA,visa 13 digit
895,Cl%a%yto(n Allen,3.05965E+13,Diners Club / Car@te B_lanch_e
896,_Nicholas* Spe.nc!er,1.80009E+14,Mast_ercard
NA,Emily Lucero,6588608523688718 ,JCB 16 digi%t
898,Lacey Moor#e,NA,$Mast^ercar&d 
899,Jos_hua T%orres,NA,VI!SA 16 digi.t
900,S&teven T#odd,3506541636766251,VIS@A 16 dig^it
901,$Kevi$n Harris,3595392838582910,Ame%r-ican &Express
902,Cody Wilson,3551247501637817,JCB 15 dig.it
903,Eric Young,1.80085E+14,VIS!A 13@ d!igi.t
904,NA,4929345319858667,America$n E&xpre#ss
905,Jenni&fer T@aylor,3.49896E+14,JCB (15 d@igit
906,B.ruce Gome#z,5.03806E+11,!VISA 13 !di$git
907,$Alliso$n Smith,4135534110403704,JCB 16 digit
908,Adam Ge+orge,3527976326486759,M.asterc-ard
909,Amy Ba&rajas,4588310769823561728,VIS%A 19 )d$i#git
910,BRIT^TNEY WI#LLIAMSON,5.02026E+11,VI%SA 16 )DIGIT
911,Jody Oconnell,1.80001E+14,VISA )16 digit
912,Alice Hawkin*s,2719735617686042,JCB 16 digit
913,Amy Kelley,4397033988175885,VISA 16 digit
914,NA,4.09157E+12,VI-SA 19 DIGIT
915,Andrew Gi*bson,3571206705697742,JCB 16 *digit
916,heather bai*ley ,4.55562E+12,jc-b 16 %digit
917,NA,NA,Mae^stro
918,Emma +Wheel*er,4466041929985714,VISA -1*9 digit
919,Trevor Ross MD,4.714601050513e+18,VISA 1.6 d+igit 
920,Brittany R!odgers,5.03827E+11,Amer%ican Expre+ss
921,Taylo.r Si+mmons,5504620789541013,Mastercard
922,Juan Walters,6.76174E+11,JCB) 16 digit
923,DONALD MOLINA ,NA,VIS#A 19 DIG@IT 
924,Rose Sm@ith,NA,VISA 13 digit 
925,Amanda@ Ter$rell,4939640555826859,JCB ^16 digit
926,Ryan Melton,3.77105E+14,Dis&c.over
927,jason fox ,6011452756307358 ,maestro
928,Gabrielle Jones,3538742796240655,D$iners Club -/ Carte Blanche
929,Ashley Ramirez,4196166278478008,VISA 16 di(git
930,NA,5.65788E+11,%VISA 13@ digit
931,Jenni*fer Gilb$er$t,6.75932E+11,NA
932,Brianna_ St&ephens,6556639549145100,JCB 16 digit
933,Anna Math_is ,4559154370727341,NA
934,Robe+rt Simpson,3.403E+14,VISA 16 digit
935,M+ary Berry,1.80077E+14,Dis@cov@er
936,D.esiree Ramirez,3.00518E+13,VISA# 16 d)igit
937,Timo&thy Green,3531683481024326,VIS+A 16 digit
938,Amy O&don!nell,6011716813200057,JCB 16 digit
939,!Isabel D*om!inguez MD,1.80069E+14,Maestro
940,MIG&UEL- GILLESPIE,3554360746353376,DINE(RS^ CLUB / CARTE BLA*NCHE
941,chris%t(o$pher barron,2.13157E+14,jcb 16* digit
942,Jam^es S*ullivan,4465235607488006,VIS-A 16 digit 
NA,Christopher Tyler,4331750938586242560,Di#scove_r
944,Jonath^an Hugh(es,NA,Americ@an Exp+ress
945,Kimberly Mann,3.43258E+14,JCB 15 )digit
946,Jenn*ifer& Si$ms,5552299472403475,V.ISA 19 d)igit
947,ARIE)L HORTON,2699207546352728,JCB +16 D#IGIT
948,Nic-ole Baile*y ,5.01842E+11,VIS%A 19 digit
949,Bryan Smith ,4203570020156617,Ma-estro
950,NA,6579726988434690,Diners Club / Carte Bl*anche
951,Tr^oy A(rnold,6573348629136810,*JCB 16 digit
NA,Diane P&atterson,1.80081E+14,NA
953,Sarah Brown,3.63358E+13,&Amer!ican Express
954,Regina $Strickla&nd,5.73214E+11,J$CB !16 d+igit
955,NA,1.80088E+14,DISCOVER
956,N$ich@olas Staf_ford,4824403511884019,VI-SA 13 di.git
957,Davi-d Garza,3.71091E+14,Maestro
958,Regina Martinez,3.78442E+14,VISA 16 di&git
NA,Amy Fox,6.76187E+11,JC!B 15 digit
960,margaret^ gonz^ale#z ,4833161186816158,visa (13 d@igit
NA,(Shann#on$ G%uerrer#o,1.80042E+14,NA
962,^christopher mcdowell,6011324486293192,visa$ 19 digit 
963,Juli)a Ru+sh,6011539571639880,(JCB 16 digit
964,Ki^mberly Go*nzalez,4041567453790452736,VISA 13 digit
965,ch^eryl allen,3.05888E+13,visa 1(6 digit
966,NA,NA,VI(SA 16 di*git
967,Su(san Armstrong,2678970208391566,NA
968,Victoria Sutton,3523105438404625 ,D(iners Club# / Carte Blanche
969,andrew vaug^han,4.66669E+12,jcb 1&6 digit
970,_Du^stin .H+arris,3.67148E+13,JCB 15 digit
971,Erika Bryant,4.6266E+12,Disc*over
972,Va&lerie Davis,NA,NA
973,Christina Wise,2.13106E+14,@Ameri^ca.n Exp^ress 
974,Meredith& Galvan,5.87121E+11,VISA 19 digit
975,Angela Clayton,60430411169,V*ISA% 13 digit
976,Alexande_r Olsen,3593581274571203,VI#SA* (16 digit
